date_local,summer_year,daily_peak_mw,is_top5,hour_of_peak
2023-06-29,2023,120248,FALSE,18
2023-06-30,2023,123053,FALSE,17
2023-07-01,2023,111963,FALSE,18
2023-07-02,2023,115653,FALSE,18
2023-07-03,2023,124860,FALSE,18
2023-07-04,2023,124510,FALSE,18
2023-07-05,2023,138886,FALSE,18
2023-07-06,2023,135644,FALSE,18
2023-07-07,2023,130365,FALSE,17
2023-07-08,2023,115601,FALSE,17
2023-07-09,2023,108441,FALSE,18
2023-07-10,2023,128109,FALSE,18
2023-07-11,2023,131450,FALSE,18
2023-07-12,2023,131788,FALSE,18
2023-07-13,2023,136991,FALSE,18
2023-07-14,2023,137472,FALSE,17
2023-07-15,2023,124273,FALSE,17
2023-07-16,2023,117747,FALSE,18
2023-07-17,2023,131484,FALSE,18
2023-07-18,2023,129739,FALSE,18
2023-07-19,2023,127998,FALSE,18
2023-07-20,2023,134900,FALSE,18
2023-07-21,2023,124555,FALSE,18
2023-07-22,2023,113759,FALSE,18
2023-07-23,2023,120559,FALSE,18
2023-07-24,2023,132479,FALSE,18
2023-07-25,2023,130631,FALSE,18
2023-07-26,2023,138147,FALSE,18
2023-07-27,2023,147605,TRUE,18
2023-07-28,2023,145275,TRUE,18
2023-07-29,2023,130915,FALSE,17
2023-07-30,2023,115259,FALSE,18
2023-07-31,2023,121337,FALSE,18
2023-08-01,2023,116819,FALSE,18
2023-08-02,2023,119435,FALSE,18
2023-08-03,2023,119054,FALSE,18
2023-08-04,2023,120910,FALSE,18
2023-08-05,2023,114685,FALSE,18
2023-08-06,2023,117948,FALSE,18
2023-08-07,2023,123369,FALSE,17
2023-08-08,2023,118953,FALSE,18
2023-08-09,2023,123937,FALSE,18
2023-08-10,2023,116489,FALSE,18
2023-08-11,2023,126340,FALSE,18
2023-08-12,2023,124919,FALSE,18
2023-08-13,2023,124877,FALSE,18
2023-08-14,2023,123728,FALSE,17
2023-08-15,2023,123083,FALSE,17
2023-08-16,2023,121946,FALSE,18
2023-08-17,2023,124791,FALSE,17
2023-08-18,2023,113042,FALSE,18
2023-08-19,2023,105936,FALSE,18
2023-08-20,2023,125533,FALSE,18
2023-08-21,2023,138385,FALSE,18
2023-08-22,2023,126648,FALSE,18
2023-08-23,2023,125736,FALSE,18
2023-08-24,2023,127203,FALSE,18
2023-08-25,2023,129658,FALSE,18
2023-08-26,2023,122064,FALSE,18
2023-08-27,2023,113962,FALSE,18
2023-08-28,2023,113278,FALSE,18
2023-08-29,2023,117554,FALSE,18
2023-08-30,2023,112568,FALSE,17
2023-08-31,2023,105288,FALSE,18
2023-09-01,2023,108542,FALSE,18
2023-09-02,2023,112463,FALSE,18
2023-09-03,2023,128978,FALSE,18
2023-09-04,2023,139123,TRUE,18
2023-09-05,2023,146836,TRUE,17
2023-09-06,2023,141874,TRUE,17
2023-09-07,2023,130859,FALSE,16
2023-09-08,2023,122441,FALSE,16
2023-09-09,2023,106933,FALSE,15
2023-09-10,2023,104209,FALSE,18
2023-09-11,2023,115832,FALSE,18
2023-09-12,2023,113478,FALSE,18
2023-09-13,2023,108366,FALSE,18
2023-09-14,2023,101598,FALSE,18
2023-09-15,2023,94367,FALSE,18
2023-09-16,2023,88795,FALSE,18
2023-09-17,2023,87128,FALSE,20
2023-09-18,2023,93865,FALSE,18
2023-09-19,2023,93182,FALSE,18
2023-09-20,2023,98962,FALSE,18
2023-09-21,2023,99267,FALSE,18
2023-09-22,2023,93709,FALSE,17
2023-09-23,2023,84468,FALSE,18
2023-09-24,2023,86665,FALSE,20
2023-09-25,2023,92208,FALSE,20
2023-09-26,2023,91171,FALSE,20
2023-09-27,2023,89299,FALSE,20
2023-09-28,2023,89358,FALSE,20
2023-09-29,2023,90191,FALSE,18
2023-09-30,2023,88643,FALSE,18
2024-06-01,2024,93905,FALSE,19
2024-06-02,2024,95595,FALSE,19
2024-06-03,2024,121014,FALSE,18
2024-06-04,2024,127368,FALSE,17
2024-06-05,2024,118061,FALSE,17
2024-06-06,2024,119604,FALSE,18
2024-06-07,2024,110119,FALSE,18
2024-06-08,2024,99412,FALSE,18
2024-06-09,2024,99410,FALSE,19
2024-06-10,2024,97816,FALSE,18
2024-06-11,2024,98260,FALSE,18
2024-06-12,2024,114028,FALSE,19
2024-06-13,2024,129888,FALSE,18
2024-06-14,2024,126112,FALSE,17
2024-06-15,2024,109808,FALSE,19
2024-06-16,2024,118124,FALSE,18
2024-06-17,2024,140155,FALSE,18
2024-06-18,2024,144045,FALSE,18
2024-06-19,2024,143167,FALSE,18
2024-06-20,2024,142698,FALSE,18
2024-06-21,2024,147976,TRUE,18
2024-06-22,2024,144179,FALSE,18
2024-06-23,2024,132172,FALSE,18
2024-06-24,2024,128011,FALSE,18
2024-06-25,2024,131214,FALSE,18
2024-06-26,2024,136466,FALSE,17
2024-06-27,2024,123604,FALSE,18
2024-06-28,2024,118973,FALSE,18
2024-06-29,2024,127754,FALSE,18
2024-06-30,2024,120942,FALSE,17
2024-07-01,2024,108474,FALSE,19
2024-07-02,2024,120743,FALSE,18
2024-07-03,2024,131424,FALSE,18
2024-07-04,2024,123975,FALSE,17
2024-07-05,2024,135024,FALSE,18
2024-07-06,2024,132943,FALSE,18
2024-07-07,2024,133199,FALSE,18
2024-07-08,2024,146962,FALSE,18
2024-07-09,2024,144683,FALSE,16
2024-07-10,2024,139869,FALSE,18
2024-07-11,2024,133411,FALSE,18
2024-07-12,2024,127791,FALSE,18
2024-07-13,2024,138025,FALSE,18
2024-07-14,2024,134102,FALSE,19
2024-07-15,2024,152137,TRUE,18
2024-07-16,2024,153121,TRUE,18
2024-07-17,2024,142905,FALSE,16
2024-07-18,2024,122717,FALSE,18
2024-07-19,2024,123292,FALSE,18
2024-07-20,2024,113156,FALSE,18
2024-07-21,2024,124735,FALSE,18
2024-07-22,2024,122580,FALSE,18
2024-07-23,2024,133305,FALSE,18
2024-07-24,2024,127246,FALSE,17
2024-07-25,2024,124516,FALSE,17
2024-07-26,2024,120974,FALSE,18
2024-07-27,2024,121594,FALSE,18
2024-07-28,2024,125551,FALSE,18
2024-07-29,2024,135514,FALSE,18
2024-07-30,2024,137950,FALSE,18
2024-07-31,2024,145303,FALSE,18
2024-08-01,2024,149274,TRUE,18
2024-08-02,2024,143077,FALSE,17
2024-08-03,2024,132533,FALSE,17
2024-08-04,2024,129482,FALSE,18
2024-08-05,2024,146612,FALSE,18
2024-08-06,2024,140608,FALSE,15
2024-08-07,2024,120993,FALSE,17
2024-08-08,2024,119713,FALSE,18
2024-08-09,2024,121164,FALSE,17
2024-08-10,2024,114629,FALSE,18
2024-08-11,2024,108386,FALSE,18
2024-08-12,2024,117303,FALSE,18
2024-08-13,2024,121754,FALSE,18
2024-08-14,2024,127395,FALSE,18
2024-08-15,2024,124517,FALSE,18
2024-08-16,2024,128935,FALSE,18
2024-08-17,2024,115422,FALSE,17
2024-08-18,2024,117673,FALSE,18
2024-08-19,2024,116086,FALSE,17
