rep,ev_low,ev_mid,ev_high
117,55456.96571428571,73839.2782142857,75164.04571428572
118,50885.53714285714,69267.84964285714,70592.61714285715
119,49742.67999999999,68124.9925,69449.76000000001
120,57171.25142857142,75553.56392857143,76878.33142857144
121,53742.67999999999,72124.9925,73449.76000000001
122,52885.53714285714,71267.84964285714,72592.61714285715
123,52314.108571428565,70696.42107142856,72021.18857142857
124,49171.25142857142,67553.56392857143,68878.33142857144
125,56314.108571428565,74696.42107142856,76021.18857142857
126,51456.96571428571,69839.2782142857,71164.04571428572
127,59171.25142857142,77553.56392857143,78878.33142857144
128,56599.82285714285,74982.13535714285,76306.90285714286
129,52599.82285714285,70982.13535714285,72306.90285714286
130,48885.53714285714,67267.84964285714,68592.61714285715
131,51171.25142857142,69553.56392857143,70878.33142857144
132,56314.108571428565,74696.42107142856,76021.18857142857
133,54028.394285714276,72410.70678571428,73735.4742857143
134,53742.67999999999,72124.9925,73449.76000000001
135,56885.53714285714,75267.84964285714,76592.61714285715
136,57742.67999999999,76124.9925,77449.76000000001
137,52314.108571428565,70696.42107142856,72021.18857142857
138,56885.53714285714,75267.84964285714,76592.61714285715
139,52028.394285714276,70410.70678571428,71735.4742857143
140,58028.394285714276,76410.70678571428,77735.4742857143
141,52885.53714285714,71267.84964285714,72592.61714285715
142,55456.96571428571,73839.2782142857,75164.04571428572
143,52314.108571428565,70696.42107142856,72021.18857142857
144,53742.67999999999,72124.9925,73449.76000000001
145,54028.394285714276,72410.70678571428,73735.4742857143
146,58314.108571428565,76696.42107142856,78021.18857142857
147,52314.108571428565,70696.42107142856,72021.18857142857
148,57456.96571428571,75839.2782142857,77164.04571428572
149,48028.394285714276,66410.70678571428,67735.4742857143
150,52314.108571428565,70696.42107142856,72021.18857142857
151,51456.96571428571,69839.2782142857,71164.04571428572
152,48885.53714285714,67267.84964285714,68592.61714285715
153,49171.25142857142,67553.56392857143,68878.33142857144
154,57742.67999999999,76124.9925,77449.76000000001
155,50028.394285714276,68410.70678571428,69735.4742857143
156,57742.67999999999,76124.9925,77449.76000000001
157,56885.53714285714,75267.84964285714,76592.61714285715
158,50885.53714285714,69267.84964285714,70592.61714285715
159,57456.96571428571,75839.2782142857,77164.04571428572
160,54599.82285714285,72982.13535714285,74306.90285714286
161,55456.96571428571,73839.2782142857,75164.04571428572
162,56028.394285714276,74410.70678571428,75735.4742857143
163,52314.108571428565,70696.42107142856,72021.18857142857
164,62028.394285714276,80410.70678571428,81735.4742857143
165,50885.53714285714,69267.84964285714,70592.61714285715
166,52028.394285714276,70410.70678571428,71735.4742857143
167,51742.67999999999,70124.9925,71449.76000000001
168,52028.394285714276,70410.70678571428,71735.4742857143
169,52885.53714285714,71267.84964285714,72592.61714285715
170,58314.108571428565,76696.42107142856,78021.18857142857
171,55456.96571428571,73839.2782142857,75164.04571428572
172,51171.25142857142,69553.56392857143,70878.33142857144
173,56314.108571428565,74696.42107142856,76021.18857142857
174,56028.394285714276,74410.70678571428,75735.4742857143
175,57456.96571428571,75839.2782142857,77164.04571428572
176,58314.108571428565,76696.42107142856,78021.18857142857
177,51456.96571428571,69839.2782142857,71164.04571428572
178,56599.82285714285,74982.13535714285,76306.90285714286
179,53171.25142857142,71553.56392857143,72878.33142857144
180,53171.25142857142,71553.56392857143,72878.33142857144
181,55456.96571428571,73839.2782142857,75164.04571428572
182,59742.67999999999,78124.9925,79449.76000000001
183,52885.53714285714,71267.84964285714,72592.61714285715
184,49171.25142857142,67553.56392857143,68878.33142857144
185,54885.53714285714,73267.84964285714,74592.61714285715
186,52028.394285714276,70410.70678571428,71735.4742857143
187,60885.53714285714,79267.84964285714,80592.61714285715
188,59456.96571428571,77839.2782142857,79164.04571428572
189,55742.67999999999,74124.9925,75449.76000000001
190,51742.67999999999,70124.9925,71449.76000000001
191,52314.108571428565,70696.42107142856,72021.18857142857
