month_local,hr_local,daytype,mape,bias_mw,n
10,22,weekend,1.0336042915959003,319.8548387096773,62
10,23,weekday,1.048760366448571,-116.78571428571462,154
10,23,weekend,1.19687710032476,-103.25806451612911,62
11,0,weekday,2.0767495510518534,-1056.534722222222,144
11,0,weekend,2.5454934822218425,-1982.9180327868853,61
11,1,weekday,2.672067697146664,-1719.862068965517,145
11,1,weekend,2.7447071141123693,-1980.3809523809523,63
11,2,weekday,2.9226617237330412,-1951.9530201342286,149
11,2,weekend,3.0467077408697345,-2264.7192982456136,57
11,3,weekday,3.089397110696488,-2076.1342281879197,149
11,3,weekend,3.271566341448726,-2433.6491228070176,57
11,4,weekday,2.9412501314266435,-1925.805369127517,149
11,4,weekend,3.407718082075224,-2521.0175438596493,57
11,5,weekday,2.4981994307289552,-1433.0536912751681,149
11,5,weekend,3.0204512403381525,-2221.0877192982457,57
11,6,weekday,1.901869440147045,-456.0268456375841,149
11,6,weekend,2.4600353856025112,-1681.421052631579,57
11,7,weekday,1.9307174425531306,102.94630872483206,149
11,7,weekend,2.078571348585633,-1143.6666666666667,57
11,8,weekday,1.7258091857921467,367.25503355704706,149
11,8,weekend,1.7426934070139755,-922.438596491228,57
11,9,weekday,1.5513376526189204,511.26174496644285,149
11,9,weekend,1.5540594275280146,-784.1228070175439,57
